date,symbol,iv_1W,iv_1M,iv_3M,iv_6M,iv_1Y
2023-05-15,EURUSD,6.95,7.31,7.68,7.90,8.18
2023-05-15,GBPUSD,8.34,8.77,9.21,9.48,9.82
2023-05-15,USDCNH,5.92,6.22,6.53,6.72,6.96
2023-05-15,USDJPY,9.85,10.36,10.87,11.20,11.60
2023-05-16,AUDUSD,10.15,10.67,11.20,11.53,11.94
2023-05-16,EURUSD,6.82,7.17,7.53,7.75,8.02
2023-05-16,GBPUSD,8.18,8.60,9.03,9.29,9.62
2023-05-16,USDCNH,5.78,6.08,6.39,6.57,6.80
2023-05-16,USDJPY,9.68,10.18,10.68,11.00,11.40
2023-05-17,AUDUSD,9.98,10.50,11.01,11.34,11.74
2023-05-17,EURUSD,6.68,7.03,7.38,7.59,7.86
2023-05-17,GBPUSD,8.02,8.44,8.86,9.12,9.44
2023-05-17,USDCNH,5.65,5.95,6.24,6.43,6.65
2023-05-17,USDJPY,9.52,10.01,10.51,10.82,11.21
2023-05-18,AUDUSD,9.82,10.33,10.84,11.16,11.56
2023-05-18,EURUSD,6.55,6.89,7.23,7.44,7.71
2023-05-18,GBPUSD,7.86,8.26,8.68,8.93,9.25
2023-05-18,USDCNH,5.52,5.81,6.10,6.28,6.50
2023-05-18,USDJPY,9.35,9.83,10.32,10.63,11.01
2023-05-19,AUDUSD,9.65,10.15,10.65,10.97,11.36
2023-05-19,EURUSD,6.42,6.75,7.09,7.29,7.55
2023-05-19,GBPUSD,7.70,8.10,8.50,8.75,9.06
2023-05-19,USDCNH,5.40,5.68,5.96,6.14,6.36
2023-05-19,USDJPY,9.18,9.66,10.14,10.44,10.82
2023-05-22,AUDUSD,9.48,9.97,10.46,10.77,11.16
2023-05-22,EURUSD,6.28,6.61,6.94,7.14,7.39
2023-05-22,GBPUSD,7.54,7.93,8.32,8.57,8.87
2023-05-22,USDCNH,5.28,5.55,5.83,6.00,6.21
2023-05-22,USDJPY,9.02,9.48,9.96,10.25,10.62
2023-05-23,AUDUSD,9.32,9.80,10.28,10.59,10.97
2023-05-23,EURUSD,6.15,6.47,6.79,6.99,7.24
2023-05-23,GBPUSD,7.38,7.76,8.15,8.39,8.69
2023-05-23,USDCNH,5.15,5.42,5.69,5.86,6.06
2023-05-23,USDJPY,8.85,9.31,9.77,10.06,10.42
2023-05-24,AUDUSD,9.48,9.97,10.46,10.77,11.16
2023-05-24,EURUSD,6.28,6.61,6.94,7.14,7.39
2023-05-24,GBPUSD,7.54,7.93,8.32,8.57,8.87
2023-05-24,USDCNH,5.28,5.55,5.83,6.00,6.21
2023-05-24,USDJPY,9.02,9.48,9.96,10.25,10.62
2023-05-25,AUDUSD,9.65,10.15,10.65,10.97,11.37
2023-05-25,EURUSD,6.42,6.75,7.09,7.29,7.55
2023-05-25,GBPUSD,7.70,8.10,8.50,8.75,9.06
2023-05-25,USDCNH,5.40,5.68,5.96,6.14,6.36
2023-05-25,USDJPY,9.18,9.66,10.14,10.44,10.82
2023-05-26,AUDUSD,9.82,10.33,10.84,11.16,11.56
2023-05-26,EURUSD,6.55,6.89,7.23,7.44,7.71
2023-05-26,GBPUSD,7.86,8.26,8.68,8.93,9.25
2023-05-26,USDCNH,5.52,5.81,6.10,6.28,6.50
2023-05-26,USDJPY,9.35,9.83,10.32,10.63,11.01
2023-05-30,AUDUSD,9.98,10.50,11.01,11.34,11.75
2023-05-30,EURUSD,6.68,7.03,7.38,7.60,7.86
2023-05-30,GBPUSD,8.02,8.44,8.86,9.12,9.44
2023-05-30,USDCNH,5.65,5.95,6.24,6.43,6.66
2023-05-30,USDJPY,9.52,10.01,10.51,10.82,11.21
2023-05-31,AUDUSD,10.15,10.67,11.20,11.53,11.94
2023-05-31,EURUSD,6.82,7.17,7.53,7.75,8.02
2023-05-31,GBPUSD,8.18,8.60,9.03,9.29,9.62
2023-05-31,USDCNH,5.78,6.08,6.39,6.58,6.81
2023-05-31,USDJPY,9.68,10.18,10.68,11.00,11.40
